PTS,Age,MP,FG,3P,3PA,eFG%,ORB,TOV,PF,TS%,weight
134.0,22.0,469.0,54.0,8.0,29.0,0.504,16.0,19.0,51.0,0.532,214.0
1387.0,19.0,2969.0,497.0,39.0,126.0,0.45399999999999996,134.0,177.0,190.0,0.517,199.0
731.0,20.0,2489.0,301.0,11.0,42.0,0.433,107.0,203.0,193.0,0.456,185.0
1228.0,26.0,2532.0,413.0,144.0,392.0,0.509,142.0,122.0,140.0,0.562,251.0
1163.0,22.0,2135.0,482.0,16.0,45.0,0.528,277.0,145.0,189.0,0.564,245.0
680.0,28.0,1876.0,295.0,0.0,3.0,0.521,128.0,99.0,127.0,0.5429999999999999,240.0
308.0,27.0,1075.0,110.0,48.0,125.0,0.57,49.0,47.0,154.0,0.594,240.0
1096.0,24.0,2178.0,447.0,0.0,3.0,0.545,238.0,135.0,193.0,0.573,228.0
1068.0,29.0,2655.0,455.0,1.0,1.0,0.542,202.0,126.0,201.0,0.568,240.0
262.0,26.0,1156.0,105.0,26.0,80.0,0.457,29.0,61.0,94.0,0.478,195.0
939.0,25.0,1886.0,356.0,38.0,132.0,0.451,50.0,155.0,147.0,0.504,220.0
520.0,23.0,1275.0,199.0,0.0,3.0,0.659,99.0,77.0,171.0,0.67,245.0
618.0,26.0,1478.0,237.0,37.0,131.0,0.441,107.0,61.0,135.0,0.486,235.0
859.0,29.0,2537.0,355.0,62.0,170.0,0.494,77.0,278.0,175.0,0.506,186.0
80.0,29.0,272.0,26.0,24.0,62.0,0.514,6.0,11.0,20.0,0.522,240.0
1603.0,28.0,2498.0,652.0,3.0,15.0,0.45899999999999996,166.0,123.0,147.0,0.507,260.0
854.0,27.0,2271.0,343.0,20.0,83.0,0.469,50.0,169.0,139.0,0.513,220.0
388.0,33.0,1095.0,145.0,17.0,51.0,0.486,32.0,49.0,98.0,0.5329999999999999,225.0
222.0,21.0,1072.0,88.0,0.0,0.0,0.611,105.0,40.0,124.0,0.606,255.0
26.0,27.0,86.0,12.0,0.0,0.0,0.5710000000000001,7.0,5.0,4.0,0.5710000000000001,210.0
656.0,28.0,1785.0,257.0,15.0,42.0,0.447,98.0,104.0,205.0,0.49700000000000005,245.0
376.0,28.0,997.0,143.0,50.0,134.0,0.532,13.0,67.0,94.0,0.555,161.0
1578.0,25.0,2893.0,521.0,143.0,410.0,0.493,61.0,202.0,183.0,0.5589999999999999,226.0
572.0,28.0,2062.0,211.0,116.0,349.0,0.48,48.0,75.0,141.0,0.49200000000000005,215.0
399.0,24.0,992.0,146.0,2.0,16.0,0.49700000000000005,84.0,40.0,118.0,0.557,240.0
29.0,23.0,166.0,13.0,0.0,5.0,0.342,8.0,9.0,11.0,0.365,165.0
